Map,scenarios/1_switch/basic_flat/bf_f.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
8.57,-213.0
8.54,-241.0
8.54,-244.0
8.57,-241.0
8.54,-243.0
8.54,-241.0
8.54,-242.0
8.54,-239.0
8.57,-245.0
8.54,-243.0
8.54,-241.0
8.54,-241.0
8.57,-245.0
8.54,-243.0
8.54,-241.0
8.54,-238.0
8.57,-241.0
8.57,-241.0
8.54,-241.0
8.54,-239.0
8.54,-240.0
8.57,-241.0
8.54,-244.0
8.54,-240.0
8.54,-239.0
8.55,-241.0
8.54,-243.0
8.55,-243.0
8.54,-240.0
8.54,-243.0
8.57,-241.0
8.54,-242.0
8.54,-241.0
8.54,-240.0
8.54,-240.0
8.57,-241.0
8.54,-240.0
8.55,-237.0
8.54,-239.0
8.54,-239.0
8.54,-240.0
8.54,-239.0
8.55,-241.0
8.54,-240.0
8.54,-238.0
8.57,-241.0
8.54,-240.0
8.54,-240.0
8.57,-241.0
8.54,-240.0
8.57,-241.0
8.54,-237.0
8.57,-241.0
8.54,-241.0
8.57,-241.0
8.54,-241.0
8.54,-240.0
8.57,-241.0
8.54,-240.0
8.54,-238.0
8.54,-240.0
8.54,-239.0
8.57,-241.0
8.54,-241.0
8.54,-239.0
8.54,-239.0
8.54,-239.0
8.54,-240.0
8.54,-240.0
8.54,-241.0
8.57,-241.0
8.54,-239.0
8.57,-241.0
8.57,-237.0
8.54,-239.0
8.54,-239.0
8.55,-242.0
8.55,-239.0
8.54,-241.0
8.54,-241.0
8.54,-240.0
8.54,-236.0
8.57,-241.0
8.54,-240.0
8.54,-240.0
8.54,-240.0
8.54,-240.0
8.57,-241.0
8.55,-238.0
8.54,-240.0
8.57,-241.0
8.55,-239.0
8.54,-240.0
8.54,-239.0
8.54,-239.0
8.54,-239.0
8.54,-237.0
8.55,-239.0
8.57,-241.0
8.54,-240.0
8.54,-240.0
8.54,-239.0
8.54,-240.0
8.55,-237.0
8.55,-242.0
8.54,-239.0
8.57,-241.0
8.54,-243.0
8.54,-242.0
8.57,-241.0
8.54,-237.0
8.54,-240.0
8.55,-242.0
8.54,-242.0
8.54,-240.0
8.54,-240.0
8.54,-239.0
8.55,-240.0
8.55,-241.0
8.54,-240.0
8.54,-239.0
8.54,-240.0
8.54,-240.0
8.57,-241.0
8.54,-241.0
8.54,-237.0
8.54,-242.0
8.57,-241.0
8.54,-240.0
8.54,-240.0
8.57,-241.0
8.54,-241.0
8.55,-237.0
8.54,-240.0
8.54,-241.0
8.57,-241.0
8.54,-241.0
8.54,-242.0
8.55,-241.0
8.55,-240.0
8.57,-237.0
8.54,-241.0
8.54,-242.0
8.57,-241.0
8.54,-240.0
8.54,-240.0
8.54,-241.0
8.54,-237.0
8.54,-241.0
8.55,-240.0
8.57,-241.0
8.54,-243.0
8.54,-243.0
8.54,-242.0
8.54,-238.0
8.54,-239.0
8.57,-241.0
8.54,-244.0
8.57,-241.0
8.54,-240.0
8.54,-241.0
8.54,-240.0
8.57,-237.0
8.54,-240.0
8.54,-239.0
8.54,-239.0
8.54,-239.0
8.55,-239.0
8.54,-239.0
8.55,-236.0
8.54,-241.0
8.54,-240.0
8.54,-239.0
8.54,-239.0
8.54,-239.0
8.57,-241.0
8.55,-240.0
8.57,-237.0
8.54,-239.0
8.54,-239.0
8.54,-239.0
8.57,-241.0
8.54,-239.0
8.55,-239.0
8.54,-238.0
8.54,-239.0
8.54,-240.0
8.57,-241.0
8.54,-239.0
8.57,-241.0
8.54,-240.0
8.57,-237.0
8.57,-241.0
8.57,-241.0
8.54,-239.0
8.57,-241.0
8.57,-241.0
8.54,-244.0
8.54,-240.0
8.54,-236.0
1801.26,1709.72,-245.0,-213.0,-240.04,2.51
